Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country,URL
COCH,"Envoy Medical, Inc.",Surgical appliances & supplies,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES,https://finviz.com/quote.ashx?t=COCH
COCM,COMERTON CORP,,,,,,,https://finviz.com/quote.ashx?t=COCM
COCO,Vita Coco Company,Beverages,Consumer Staples,BEVERAGES-SOFT,BEVERAGES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COCO
COCP,Cocrystal Pharma,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=COCP
CODA,Coda Octopus Group,Search & navigation equipment,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,N,UNITED STATES,https://finviz.com/quote.ashx?t=CODA
CODI,Compass Diversified Holdings,Household furniture,Finance,FIN-INVEST FUND,INVESTMENT FUNDS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CODI
CODX,CoDiagnostics,Surgical & medical instruments,Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CODX
CODYY,Compagnie de Saint-Gobain - Unsponsored ADR,"Building materials, hardware, garden supply & mobile home dealers",Construction,BLDG&CONST-MISC,BUILDING PRODS,N,FRANCE,https://finviz.com/quote.ashx?t=CODYY
COE,51Talk Online Education Group Sponsored ADR,Educational services,Consumer Discretionary,Cons Services - Misc,OTHER CONS DISC,N,SINGAPORE,https://finviz.com/quote.ashx?t=COE
COEP,"Coeptis Therapeutics Holdings, Inc.",Nondepository credit institutions,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=COEP
COF,Capital One Financial,National commercial banks,Finance,FIN-CONS LOANS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COF
COFS,ChoiceOne Financial Services,State commercial banks,Finance,FIN-MISC SVCS,FINANCE,N,UNITED STATES,https://finviz.com/quote.ashx?t=COFS
COGNY,Cogna Educacao SA Sponsored ADR,,,,,,,https://finviz.com/quote.ashx?t=COGNY
COGT,Cogent Biosciences,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COGT
COHG,CHEETAH OIL&GAS,,,,,,,https://finviz.com/quote.ashx?t=COHG
COHN,Institutional Financial Markets,Security brokers & dealers,Finance,FIN-MISC SVCS,FINANCE,N,UNITED STATES,https://finviz.com/quote.ashx?t=COHN
COHR,COHERENT CORP,Optical instruments & lenses,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COHR
COHU,Cohu,Instruments to measure electricity,Computer and Technology,ELEC-MANUFT MACH,MISC TECHNOLOGY,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COHU
COIHY,Croda International,Private households,Basic Materials,CHEM-SPECIALTY,CHEMICALS,N,UNITED KINGDOM,https://finviz.com/quote.ashx?t=COIHY
COIN,Coinbase Global,Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COIN
COKE,"Coca-Cola Consolidated, Inc.",Bottled & canned soft drinks,Consumer Staples,BEVERAGES-SOFT,BEVERAGES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COKE
COLB,Columbia Banking System,State commercial banks,Finance,BANKS-WEST,BANKS & THRIFTS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COLB
COLD,Americold Realty Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COLD
COLL,Collegium Pharmaceutical,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COLL
COLM,Columbia Sportswear,"Apparel, finished products from fabrics & similar materials",Consumer Discretionary,TEXTILE-APPAREL,APPAREL,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COLM
COMM,CommScope,Radio & t.v. communications equipment,Computer and Technology,Comm Infrastructure,TELECOMM EQUIP,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COMM
COMP,Compass,Custom computer programming services,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COMP
COMS,COMSovereign,"Communications equipment, not elsewhere classified",Computer and Technology,Comm Network Software,TELECOMM EQUIP,N,UNITED STATES,https://finviz.com/quote.ashx?t=COMS
CONNQ,Conn's,"Radio, television, & electronic stores",Retail/Wholesale,RETAIL-CONS ELC,NONFOOD RETAIL/WH,N,UNITED STATES,https://finviz.com/quote.ashx?t=CONNQ
COO,The Cooper Companies,Ophthalmic goods,Medical,MED/DENTAL-SUPP,MED PRODS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COO
COOK,Traeger,Household appliances,Consumer Discretionary,CONSM PD-MISC DIS,OTHER CONS DISC,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COOK
COOT,Australian Oilseeds Holdings Limited,Fats & oils,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,N,AUSTRALIA,https://finviz.com/quote.ashx?t=COOT
COP,ConocoPhillips,Petroleum refining,Oils/Energy,OIL-US INTEGRTD,OIL-INTEGRATED,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COP
COPR,Idaho Copper Corporation,,,,,,,https://finviz.com/quote.ashx?t=COPR
COR,"Cencora, Inc.","Drugs, proprietaries, & sundries",Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COR
CORBF,China Cord Blood,"Miscellaneous health & allied services, not elsewhere classified",Medical,Medical Services,MEDICAL CARE,N,CHINA,https://finviz.com/quote.ashx?t=CORBF
CORD,T-REX 2X I CRWV,,,,,,,https://finviz.com/quote.ashx?t=CORD
CORT,Corcept Therapeutics,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CORT
CORZ,"Core Scientific, Inc.",Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CORZ
COSG,Cosmos Group Holdings Inc.,Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,N,CHINA,https://finviz.com/quote.ashx?t=COSG
COSM,Cosmos Health Inc.,"Drugs, proprietaries, & sundries",Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COSM
COSO,"CoastalSouth Bancshares, Inc.",State commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,N,UNITED STATES,https://finviz.com/quote.ashx?t=COSO
COST,Costco Wholesale,Variety stores,Retail/Wholesale,RETAIL-DISCOUNT,NONFOOD RETAIL/WH,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COST
COTQF,Critical Outcome Technologies,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=COTQF
COTY,Coty,Toilet preparations,Consumer Staples,COSMETICS&TLTRS,SOAPS/COSMETICS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COTY
COUR,Coursera,Prepackaged software,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COUR
COVTY,Covestro,Private households,Basic Materials,CHEM-PLASTICS,CHEMICALS,N,GERMANY,https://finviz.com/quote.ashx?t=COVTY
COWI,"CarbonMeta Technologies, Inc.",,,,,,,https://finviz.com/quote.ashx?t=COWI
COYA,"Coya Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=COYA
CP,Canadian Pacific Kansas City Limited,"Railroads, line-haul operating",Transportation,TRANS-RAIL,TRANSPORTATION,Y,CANADA,https://finviz.com/quote.ashx?t=CP
CPA,Copa Holdings,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,Y,PANAMA,https://finviz.com/quote.ashx?t=CPA
CPAC,Cementos Pacasmayo,"Cement, hydraulic",Construction,BLDG-CMT/CNT/AG,BUILDING PRODS,N,PERU,https://finviz.com/quote.ashx?t=CPAC
CPAY,"Corpay, Inc.","Business services, not elsewhere classified",Business Services,Financial Transaction Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPAY
CPB,The Campbell's Company,Food & kindred products,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPB
CPBI,"Central Plains Bancshares, Inc.",Federal savings institutions,Finance,BANKS-MIDWEST,BANKS & THRIFTS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPBI
CPCAF,CATHAY PAC AWYS,,,,,,,https://finviz.com/quote.ashx?t=CPCAF
CPCAY,Cathay Pacific Airways,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,N,HONG KONG,https://finviz.com/quote.ashx?t=CPCAY
CPF,CPB,State commercial banks,Finance,BANKS-WEST,BANKS & THRIFTS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPF
CPHC,Canterbury Park Holding,"Racing, including track operation",Consumer Discretionary,GAMING,LEISURE SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPHC
CPHI,China Pharma Holdings,Pharmaceutical preparations,Medical,MED-GENERIC DRG,DRUGS,N,CHINA,https://finviz.com/quote.ashx?t=CPHI
CPIHF,CHAMPION TEC HL,,,,,,,https://finviz.com/quote.ashx?t=CPIHF
CPIX,Cumberland Pharmaceuticals,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPIX
CPK,Chesapeake Utilities,Gas transmission & distribution,Utilities,UTIL-GAS DISTR,UTIL-GAS DISTR,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPK
CPKF,Chesapeake Financial Shares,National commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPKF
CPMD,Golden Dragon Holding Co.,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,CANADA,https://finviz.com/quote.ashx?t=CPMD
CPMV,Mosaic ImmunoEngineering,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPMV
CPNG,Coupang,Catalog & mail-order houses,Retail/Wholesale,INTERNET COMMERCE,NONFOOD RETAIL/WH,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPNG
CPOP,Pop Culture Group Co.,Amusement & recreation services,Business Services,ADVERTISING/MKTG SVCS,BUSINESS SERVICES,N,CHINA,https://finviz.com/quote.ashx?t=CPOP
CPQQ,China Power Equipment,Electrical industrial apparatus,Industrial Products,MACH-ELECTRICAL,MACHINERY-ELEC,N,CHINA,https://finviz.com/quote.ashx?t=CPQQ
CPRI,Capri Holdings,Leather & leather products,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,Y,UNITED KINGDOM,https://finviz.com/quote.ashx?t=CPRI
CPRT,Copart,Automotive dealers & gasoline service stations,Business Services,Auction/Valuation Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPRT
CPRX,Catalyst Pharmaceuticals,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPRX
CPS,CooperStandard,Motor vehicle parts & accessories,Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPS
CPSH,CPS Technologies,Pottery & related products,Computer and Technology,ELEC-MISC COMPONENTS,ELECTRONICS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPSH
CPSS,Consumer Portfolio Services,Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPSS
CPT,Camden Property Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST - RESID,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CPT
CPTP,Capital Properties,"Real property lessors, not elsewhere classified",Finance,REAL ESTATE OPS,REAL ESTATE,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPTP
CPWR,OCEAN THRML EGY,,,,,,,https://finviz.com/quote.ashx?t=CPWR
CPYT,CarePayment Technologies,Short-term business credit,Medical,Medical Services,MEDICAL CARE,N,UNITED STATES,https://finviz.com/quote.ashx?t=CPYT
CPYYY,Centrica,Electric services,Utilities,UTIL-GAS DISTR,UTIL-GAS DISTR,N,UNITED KINGDOM,https://finviz.com/quote.ashx?t=CPYYY
CQP,"Cheniere Energy Partners, L.P.",Natural gas distribution,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CQP
CR,Crane Company,,,,,,,https://finviz.com/quote.ashx?t=CR
CRAI,Charles River Associates,Legal services,Business Services,Consulting,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRAI
CRARY,Credit Agricole,"Commercial banks, not elsewhere classified",Finance,BANKS-FOREIGN,BANKS-MAJOR,N,FRANCE,https://finviz.com/quote.ashx?t=CRARY
CRAWA,Crawford United Corporation,Process control instruments,Industrial Products,MACH-GENL INDL,MACHINERY,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRAWA
CRBG,"Corebridge Financial, Inc.",Life insurance,Finance,INS-MULTI LINE,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRBG
CRBJF,CHINA RESRC LAN,,,,,,,https://finviz.com/quote.ashx?t=CRBJF
CRBJY,CHINA RSRCS LND,,,,,,,https://finviz.com/quote.ashx?t=CRBJY
CRBO,Carbon Energy Corp.,Crude petroleum & natural gas,Oils/Energy,OIL-US EXP&PROD,OIL-EXP&PROD,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRBO
CRBP,Corbus Pharmaceuticals,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRBP
CRBU,Caribou Biosciences,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRBU
CRC,California Resources,Crude petroleum & natural gas,Oils/Energy,OIL-US EXP&PROD,OIL-EXP&PROD,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRC
CRCL,"Circle Internet Group, Inc.",Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRCL
CRCO,TT-YLD CRCL OIS,,,,,,,https://finviz.com/quote.ashx?t=CRCO
CRCT,Cricut,"Special industry machinery, not elsewhere classified",Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRCT
CRDF,Cardiff Oncology,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRDF
CRDL,Cardiol Therapeutics,"Biological products, except diagnostic",Medical,MED-DRUGS,DRUGS,Y,CANADA,https://finviz.com/quote.ashx?t=CRDL
CRDO,Credo Technology Group,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,CAYMAN ISLANDS,https://finviz.com/quote.ashx?t=CRDO
CRE,Cre8 Enterprise Limited,Commercial printing,Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,HONG KONG,https://finviz.com/quote.ashx?t=CRE
CREAF,Creative Technology,"Computer peripheral equipment, not elsewhere classified",Computer and Technology,COMP-PERIPH EQP,COMPUTER/OFFICE EQUIP,N,SINGAPORE,https://finviz.com/quote.ashx?t=CREAF
CREG,Smart Powerr,"Business services, not elsewhere classified",Business Services,Waste Removal Svcs,BUSINESS SERVICES,N,CHINA,https://finviz.com/quote.ashx?t=CREG
CRESY,Cresud,Real estate,Consumer Staples,AGRI OPERATIONS,FOOD,Y,ARGENTINA,https://finviz.com/quote.ashx?t=CRESY
CREV,Carbon Revolution Public Limited Company,Motor vehicle parts & accessories,Auto/Tires/Trucks,AUTO/TRUCK-REPL,AUTOS/TIRES/TRUCKS,N,IRELAND,https://finviz.com/quote.ashx?t=CREV
CREX,"Creative Realities, Inc.",Computer integrated systems design,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=CREX
CRGO,Freightos Limited,Freight transportation arrangement,Business Services,Financial Transaction Services,BUSINESS SERVICES,N,SPAIN,https://finviz.com/quote.ashx?t=CRGO
CRGP,CALISSIO RES GP,,,,,,,https://finviz.com/quote.ashx?t=CRGP
CRGY,Crescent Energy Company,Crude petroleum & natural gas,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRGY
CRH,CRH,"Cement, hydraulic",Construction,BLDG&CONST-MISC,BUILDING PRODS,Y,IRELAND,https://finviz.com/quote.ashx?t=CRH
CRHKF,CHINA RES BEER,,,,,,,https://finviz.com/quote.ashx?t=CRHKF
CRHKY,China Resources Enterprise,Grocery stores,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,N,HONG KONG,https://finviz.com/quote.ashx?t=CRHKY
CRI,Carter's,"Apparel, finished products from fabrics & similar materials",Consumer Discretionary,SHOES&REL APPRL,APPAREL,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRI
CRK,Comstock Resources,Crude petroleum & natural gas,Oils/Energy,OIL-US EXP&PROD,OIL-EXP&PROD,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRK
CRKN,Crown Electrokinetics,"Electronic components, not elsewhere classified",Industrial Products,GLASS PRODUCTS,CONTNRS & GLASS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRKN
CRL,Charles River Laboratories International,Commercial physical research,Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRL
CRLBF,Cresco Labs Inc.,Medicinals & botanicals,Medical,MED PRODUCTS,MED PRODS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRLBF
CRM,Salesforce,Prepackaged software,Computer and Technology,COMP-SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRM
CRMBQ,Crumbs Bake Shop,Food stores,Consumer Staples,FOOD-CONFECTNRY,FOOD,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRMBQ
CRMD,CorMedix,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRMD
CRML,Critical Metals Corp.,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,Y,AUSTRALIA,https://finviz.com/quote.ashx?t=CRML
CRMT,America's CarMart,Automotive dealers & gasoline service stations,Retail/Wholesale,RET/WHLSL AUTO/TRUCK,NONFOOD RETAIL/WH,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRMT
CRMZ,CreditRiskMonitor.com,"Consumer credit reporting agencies, mercantile reporting agencies,",Computer and Technology,INTERNET CONTENT,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRMZ
CRNC,Cerence,Prepackaged software,Computer and Technology,IT Services,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRNC
CRNCY,Capricorn Energy PLC Unsponsored ADR,Private households,Oils/Energy,International E&P,OIL-EXP&PROD,N,UNITED KINGDOM,https://finviz.com/quote.ashx?t=CRNCY
CRNT,Ceragon Networks,Radio & t.v. communications equipment,Computer and Technology,Wireless Non-US,TELECOMM SVCS,Y,ISRAEL,https://finviz.com/quote.ashx?t=CRNT
CRNX,CRINETICS PHARM,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRNX
CRON,Cronos Group,Medicinals & botanicals,Medical,MED-DRUGS,DRUGS,Y,CANADA,https://finviz.com/quote.ashx?t=CRON
CROX,Crocs,Rubber & plastics footwear,Consumer Discretionary,TEXTILE-APPAREL,APPAREL,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CROX
CRPJY,China Resources Power Holdings,Electric services,Utilities,UTIL-ELEC PWR,UTIL-ELEC PWR,N,HONG KONG,https://finviz.com/quote.ashx?t=CRPJY
CRRFY,Carrefour,Private households,Retail/Wholesale,RETAIL-SUPERMKT,FOOD/DRUG-RTL/WHL,N,FRANCE,https://finviz.com/quote.ashx?t=CRRFY
CRRVF,CVR Medical,Surgical & medical instruments,Medical,MEDICAL INFO SYS,MEDICAL CARE,N,CANADA,https://finviz.com/quote.ashx?t=CRRVF
CRS,Carpenter Technology,Blast furnaces & steel mills,Basic Materials,STEEL-SPECIALTY,STEEL,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRS
CRSF,Crisp Momentum Inc.,Nondepository credit institutions,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRSF
CRSP,CRISPR Therapeutics,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,SWITZERLAND,https://finviz.com/quote.ashx?t=CRSP
CRSR,Corsair Gaming,"Computer peripheral equipment, not elsewhere classified",Consumer Discretionary,GAMING,LEISURE SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRSR
CRT,Cross Timbers Royalty Trust,Oil royalty traders,Oils/Energy,OIL-US RYLTY TR,OIL-EXP&PROD,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRT
CRTAF,Cartica Acquisition Corp.,,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,,https://finviz.com/quote.ashx?t=CRTAF
CRTD,Creatd,Services allied to motion pictures,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRTD
CRTO,Criteo,Advertising agencies,Computer and Technology,Internet Software/Services,COMPUTER SOFT/SERV,Y,FRANCE,https://finviz.com/quote.ashx?t=CRTO
CRUS,Cirrus Logic,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRUS
CRVH,Chilco River,Amusement & recreation services,Consumer Discretionary,GAMING,LEISURE SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRVH
CRVL,CorVel,"Insurance agents, brokers, & service",Business Services,BUSINESS SVCS,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRVL
CRVO,CERVOMED INC,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRVO
CRVS,Corvus Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRVS
CRVW,Careview Communications,Radio & t.v. communications equipment,Medical,MEDICAL INFO SYS,MEDICAL CARE,N,UNITED STATES,https://finviz.com/quote.ashx?t=CRVW
CRWD,CrowdStrike,Prepackaged software,Computer and Technology,Security,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRWD
CRWOF,CHINA RAILWY GP,,,,,,,https://finviz.com/quote.ashx?t=CRWOF
CRWS,Crown Crafts,"Broadwoven fabric mills, cotton",Consumer Discretionary,TEXTILE-HME FRN,HM FURN/APPLI,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRWS
CRWV,CoreWeave Inc.,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CRWV
CRZBY,Commerzbank,Private households,Finance,BANKS-FOREIGN,BANKS-MAJOR,N,GERMANY,https://finviz.com/quote.ashx?t=CRZBY
CSAI,Cloudastructure Inc.,"Computer programming, data processing, & other computer related",Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=CSAI
CSAN,Cosan,Sugar & confectionery products,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,BRAZIL,https://finviz.com/quote.ashx?t=CSAN
CSBB,CSB Bancorp,State commercial banks,Finance,BANKS-MIDWEST,BANKS & THRIFTS,N,UNITED STATES,https://finviz.com/quote.ashx?t=CSBB
CSBR,Champions Oncology,"Biological products, except diagnostic",Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSBR
CSCIF,COSCIENS Biopharma Inc.,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CANADA,https://finviz.com/quote.ashx?t=CSCIF
CSCMY,Cosco Corp. (Singapore) Limited,,,,,,,https://finviz.com/quote.ashx?t=CSCMY
CSCO,Cisco Systems,Computer & office equipment,Computer and Technology,COMP-NETWORKS,COMPUTER/OFFICE EQUIP,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSCO
CSDX,CS Diagnostics Corp.,,,,,,,https://finviz.com/quote.ashx?t=CSDX
CSDXF,CHINA SHIPPING,,,,,,,https://finviz.com/quote.ashx?t=CSDXF
CSGH,China Sun Group HighTech Co.,Industrial inorganic chemicals,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,CHINA,https://finviz.com/quote.ashx?t=CSGH
CSGP,CoStar Group,"Business services, not elsewhere classified",Computer and Technology,IT Services,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSGP
CSGS,CSG Systems International,Data processing & preparation,Computer and Technology,COMP-SERVICES,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSGS
CSHEF,China Enterprises,"Investors, not elsewhere classified",Auto/Tires/Trucks,RUBBER-TIRES,AUTOS/TIRES/TRUCKS,N,HONG KONG,https://finviz.com/quote.ashx?t=CSHEF
CSIOY,Casio Computer Co.,Private households,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,JAPAN,https://finviz.com/quote.ashx?t=CSIOY
CSIQ,Canadian Solar,Semiconductors & related devices,Oils/Energy,Solar,ENERGY-ALT SRCS,Y,CANADA,https://finviz.com/quote.ashx?t=CSIQ
CSL,Carlisle Companies,"Fabricated rubber products, not elsewhere classified",Multi-Sector Conglomerates,DIVERSIFIED OPS,CONGLOMERATES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSL
CSLLY,CSL Limited,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,AUSTRALIA,https://finviz.com/quote.ashx?t=CSLLY
CSLMF,Consilium Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES,https://finviz.com/quote.ashx?t=CSLMF
CSOL,"China Solar & Clean Energy Solutions, Inc.",,,,,,,https://finviz.com/quote.ashx?t=CSOL
CSPI,CSP,Computer integrated systems design,Computer and Technology,COMP-INTEGT SYS,COMPUTER/OFFICE EQUIP,N,UNITED STATES,https://finviz.com/quote.ashx?t=CSPI
CSR,Centerspace,Real estate investment trusts,Finance,REIT-EQTY TRUST - RESID,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=CSR
CSSEQ,Chicken Soup for the Soul Entertainment,Services allied to motion pictures,Consumer Discretionary,BRDCST-RADIO/TV,MEDIA,N,UNITED STATES,https://finviz.com/quote.ashx?t=CSSEQ
CSSV,Caspian Services,Water transportation,Oils/Energy,OIL-FIELD SVCS,OIL MACH/SVC/DRILL,N,,https://finviz.com/quote.ashx?t=CSSV
